substituent,canonical_smiles,DV_C,DV_n,examples
PO(OH)2,C1=CC=C(C=C1)P(=O)(O)O,9.374,11.1,86
C6H4-3F,C1=CC=C(C=C1)C2=CC=C(C=C2)F,3.915,3.3,85
CF=CFCF3,C1=CC=C(C=C1)C(=C(C(F)(F)F)F)F,13.641,14.6,83
PH2,C1=CC=C(C=C1)P,6.802,4.0,83
SCF3,C1=CC=C(C=C1)SC(F)(F)F,12.613,13.517,81
Br,C1=CC=C(C=C1)Br,9.5,7.6,80
CClF2,C1=CC=C(C=C1)C(F)(F)Cl,12.951,13.3,79
N=NPO(OEt)2,CCOP(=O)(N=NC1=CC=CC=C1)OCC,13.077,13.8,78
C(CN)=C(CN)2,C1=CC=C(C=C1)C(=C(C#N)C#N)C#N,24.874,27.0,77
C=CCF3,C1=CC=C(C=C1)C#CC(F)(F)F,14.708,15.6,77
SCF2CF3,C1=CC=C(C=C1)SC(C(F)(F)F)(F)F,11.884,13.9,74
C6H4-4Br,C1=CC=C(C=C1)C2=CC=C(C=C2)Br,4.041,3.5,70
C6H4-4Cl,C1=CC=C(C=C1)C2=CC=C(C=C2)Cl,4.103,3.3,65
P(S)Et2,CC1=C(C2C3CCP2(=S)C1C3)C,8.433,9.2,64
B(OH)2,B(C1=CC=CC=C1)(O)O,6.739,7.7,62
CF(CF3)2,C1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)F,13.202,13.8,57
F,C1=CC=C(C=C1)F,4.166,5.1,57
SiCIMe2,C[Si](C)(C1=CC=CC=C1)Cl,4.417,4.8,56
Si(NMe2)3,CN(C)[Si](C1=CC=CC=C1)(N(C)C)N(C)C,0.777,0.6,55
CCl3,C1=CC=C(C=C1)C(Cl)(Cl)Cl,11.32,11.7,53
SCl,C1=CC=C(C=C1)SCl,13.641,15.9,53
(CF2)3CF3,C1=CC=C(C=C1)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,14.645,15.3,51
C6F5,C1=CC=C(C=C1)C2=C(C(=C(C(=C2F)F)F)F)F,9.563,9.8,49
SeCH2CH=CH2,CC=C[Se]C1=CC=CC=C1,9.123,5.0,49
SF3,C1=CC=C(C=C1)S(F)(F)F,20.544,22.5,47
C6H4-4F,C1=CC=C(C=C1)C2=CC=C(C=C2)F,2.221,2.5,45
CBr3,C1=CC=C(C=C1)C(Br)(Br)Br,10.692,11.2,45
N(SO2CF3)2,C1=CC=C(C=C1)N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,18.285,19.2,45
PS(C6H5)C6H4-4Me,CC1=CC=C(C=C1)P(=S)(C2=CC=CC=C2)C3=CC=CC=C3,6.3,7.3,45
SiMeCl2,C[Si](C1=CC=CC=C1)(Cl)Cl,8.245,9.6,45
Si(C6H5)3,C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,1.028,0.4,43
PS(C6H4-4Me)2,C1=CC=C(C=C1)P(CCSC2=CC=CC=C2)C3=CC=CC=C3,5.421,6.5,42
SeCH=CH2,C=C[Se]C1=CC=CC=C1,3.413,3.6,40
SiCl3,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,12.763,14.4,34
Ge(Et)3,CC[Ge](CC)(CC)C1=CC=CC=C1,-2.046,-1.6,33
N=C(CF3)2,C1=CC=C(C=C1)N=C(C(F)(F)F)C(F)(F)F,13.328,12.5,33
