text,DV_C,DV_n
[C][C][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=N][C][=C][Ring1][=Branch1],-1.9208081100004053,-5.8
[C][C][=C][O][C][=C][Ring1][Branch1][C][C][C][C][=C][C][Ring1][Branch1],5.672062889999733,7.6
[C][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][N],3.852283889999516,2.5
[C][C][Branch1][C][C][C][=C][C][=C][C][=C][C][Ring1][Branch1],-2.109061109999967,-3.0
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C][Branch1][C][C][N],-1.418800110000461,-2.4
[C][C][=C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],6.927082890000152,8.9
[C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][=O],-1.98355911000026,-3.8
[C][C][Branch1][C][C][C][=C][Branch1][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][N][C],0.5264808899994641,-3.2
[C][C][C][=C][C][=C][C][=C][=C][Ring1][Branch2][C],-2.736571110000734,-3.9
[C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Branch1][=Branch2][O][C][=C][Ring1][Branch1][N][Ring1][#Branch2][O],17.029993890000014,16.2
[C][C][=C][C][=C][Branch1][Ring1][C][#N][C][=Branch1][C][=O][C],7.491841889999951,6.7
[C][C][#C][C][N][C][C][=C][O][N][=C][Ring1][Branch1][C],-1.9208081100004053,-5.8
[C][=C][N][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][C][=O],16.40248388999925,17.8
[C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][C][Ring1][=Branch1][S][N][O],13.64143989000011,14.5
